0.000000000000000000e+00 1.438667999999999836e+02 6.373320000000001073e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 8.518448071681302736e+01 4.221070979171511794e+01 1.103649845027437415e+01 1.424091221507476040e-04 3.496724717343646199e-05 7.395181061490598040e+01 3.269352602680196118e-01 1.614796631755786649e+01
2.000000000000000000e+00 6.089491383913722444e+01 3.214825153482015452e+01 1.582816940298554798e+01 7.083688144876792243e-05 1.974293269463762662e-05 1.039331931486619567e+02 1.024736186588076858e+00 2.399811569210654838e+01
3.000000000000000000e+00 4.774962837299370477e+01 2.626177317239408993e+01 1.842995064473220168e+01 4.239536821236403798e-05 1.282407988220131034e-05 1.198951934533562991e+02 1.902925689183004865e+00 2.866857132051911705e+01
4.000000000000000000e+00 3.958310949864951311e+01 2.238613689500032322e+01 2.000331162087662307e+01 2.835825355466858248e-05 9.070218960975198513e-06 1.296604412357013132e+02 2.884564260939072700e+00 3.175908084859631586e+01
5.000000000000000000e+00 3.406451428673026527e+01 1.963966964761213774e+01 2.101010695617893731e+01 2.044303780418144049e-05 6.795309563551460842e-06 1.361558007211509675e+02 3.930605267523685331e+00 3.394222373048899755e+01
6.000000000000000000e+00 3.011950983717441943e+01 1.759313326182456549e+01 2.167140047210126852e+01 1.555672824758465024e-05 5.307729199412377734e-06 1.407198911641360439e+02 5.018444356561788666e+00 3.555313105601034351e+01
7.000000000000000000e+00 2.718476097230349353e+01 1.601158356654537585e+01 2.210664657744912276e+01 1.233544965177955692e-05 4.279297342579850529e-06 1.440503318318560275e+02 6.133813872038474280e+00 3.677858841550873592e+01
8.000000000000000000e+00 2.493664213332668567e+01 1.475524094646775630e+01 2.238620039902340864e+01 1.010325716213088071e-05 3.537350112657445464e-06 1.465458877302378369e+02 7.267140463058374245e+00 3.773137667039533483e+01
9.000000000000000000e+00 2.317609572258170303e+01 1.373556924752123543e+01 2.255426191707735128e+01 8.494690330546685684e-06 2.983735506524587157e-06 1.484508103107706063e+02 8.411702754781078539e+00 3.848382419494564033e+01
1.000000000000000000e+01 2.177400327273083747e+01 1.289368105279580412e+01 2.264003023147817473e+01 7.298357330276973298e-06 2.559189340303596801e-06 1.499229731748317818e+02 9.562615114130855076e+00 3.908455581658599698e+01
1.100000000000000000e+01 2.064297067296017119e+01 1.218884075155879287e+01 2.266358668072887639e+01 6.385200151542951183e-06 2.226152765109814894e-06 1.510689099968726055e+02 1.071622850908935831e+01 3.956752503608809945e+01
1.200000000000000000e+01 1.972174522773527272e+01 1.159194547517589946e+01 2.263920453441644653e+01 5.672864266009853647e-06 1.959857117911983274e-06 1.519630925620356834e+02 1.186975809585808506e+01 3.995719261759403906e+01
1.300000000000000000e+01 1.896612794821899683e+01 1.108163422848929969e+01 2.257731116603169141e+01 5.106821110374335717e-06 1.743415785279555270e-06 1.526591358289485925e+02 1.302104154421527760e+01 4.027164763467726516e+01
1.400000000000000000e+01 1.834342919265535343e+01 1.064186468420449216e+01 2.248570307893713860e+01 4.649817891531630629e-06 1.564985872480282340e-06 1.531966137582062686e+02 1.416837648421213558e+01 4.052456814638426152e+01
