observableId	simulationConditionId	measurement	time
observable_predator	condition1	4.553487266045083	0.0
observable_predator	condition1	4.647669990268079	0.05
observable_predator	condition1	4.475574463459368	0.1
observable_predator	condition1	4.533578542356643	0.15
observable_predator	condition1	4.444090205073514	0.2
observable_predator	condition1	4.380956329789391	0.25
observable_predator	condition1	4.330969927075258	0.3
observable_predator	condition1	4.117236504215003	0.35
observable_predator	condition1	4.040357361087612	0.4
observable_predator	condition1	3.9451379843577725	0.45
observable_predator	condition1	3.7036235707008336	0.5
observable_predator	condition1	3.792184027264813	0.55
observable_predator	condition1	3.559186350260035	0.6
observable_predator	condition1	3.6715329362989633	0.65
observable_predator	condition1	3.500317176247772	0.7
observable_predator	condition1	3.4828631461234982	0.75
observable_predator	condition1	3.3292249539921785	0.8
observable_predator	condition1	3.1918534001632044	0.85
observable_predator	condition1	3.0436010916236684	0.9
observable_predator	condition1	2.9407049616149896	0.95
observable_predator	condition1	2.9522220177891545	1.0
observable_predator	condition1	2.6431333108747883	1.05
observable_predator	condition1	2.6303775854417566	1.1
observable_predator	condition1	2.4797952516211406	1.15
observable_predator	condition1	2.335491354932131	1.2
observable_predator	condition1	2.29721734258966	1.25
observable_predator	condition1	2.3127528498500123	1.3
observable_predator	condition1	2.2238492972521544	1.35
observable_predator	condition1	2.122354059507448	1.4
observable_predator	condition1	2.2126370196067633	1.45
observable_predator	condition1	1.992254707352425	1.5
observable_predator	condition1	1.8927302291498045	1.55
observable_predator	condition1	1.9267893518550696	1.6
observable_predator	condition1	1.7661303020415964	1.65
observable_predator	condition1	1.7030176095410892	1.7
observable_predator	condition1	1.6538419685628807	1.75
observable_predator	condition1	1.4190182490658994	1.8
observable_predator	condition1	1.4800139596467679	1.85
observable_predator	condition1	1.4187152031240096	1.9
observable_predator	condition1	1.5047080344709873	1.95
observable_predator	condition1	1.3125413424034882	2.0
observable_predator	condition1	1.1552601800483926	2.05
observable_predator	condition1	1.2647487016896646	2.1
observable_predator	condition1	1.1169514061851356	2.15
observable_predator	condition1	1.0313540570833706	2.2
observable_predator	condition1	0.9455685472809321	2.25
observable_predator	condition1	1.0303618365992884	2.3
observable_predator	condition1	1.0055836133381588	2.35
observable_predator	condition1	1.1271380039024135	2.4
observable_predator	condition1	0.9408805757003157	2.45
observable_predator	condition1	1.0190221026314663	2.5
observable_predator	condition1	0.9201175203300608	2.55
observable_predator	condition1	0.9565229370872419	2.6
observable_predator	condition1	0.8717384829771104	2.65
observable_predator	condition1	0.9623133333785585	2.7
observable_predator	condition1	0.7572666246099076	2.75
observable_predator	condition1	0.6641647039763272	2.8
observable_predator	condition1	0.8142952514013305	2.85
observable_predator	condition1	0.576374739989009	2.9
observable_predator	condition1	0.6309786579332202	2.95
observable_predator	condition1	0.4494571106189141	3.0
observable_predator	condition1	0.6234638892773693	3.05
observable_predator	condition1	0.6490133415038213	3.1
observable_predator	condition1	0.5718131452872967	3.15
observable_predator	condition1	0.47938418503354263	3.2
observable_predator	condition1	0.26299657171678026	3.25
observable_predator	condition1	0.4877106728529438	3.3
observable_predator	condition1	0.5990837874318666	3.35
observable_predator	condition1	0.5247904120788608	3.4
observable_predator	condition1	0.5372516598465163	3.45
observable_predator	condition1	0.40262886740489545	3.5
observable_predator	condition1	0.32799611163134795	3.55
observable_predator	condition1	0.5801143400646024	3.6
observable_predator	condition1	0.2625886800601855	3.65
observable_predator	condition1	0.1359097408142525	3.7
observable_predator	condition1	0.5560874829742023	3.75
observable_predator	condition1	0.27823568110346114	3.8
observable_predator	condition1	0.5101752842642513	3.85
observable_predator	condition1	0.34775686549250884	3.9
observable_predator	condition1	0.486762149781615	3.95
observable_predator	condition1	0.3461085210881573	4.0
observable_predator	condition1	0.4039740242080783	4.05
observable_predator	condition1	0.3536398643090788	4.1
observable_predator	condition1	0.29508273943494	4.15
observable_predator	condition1	0.2775209051741969	4.2
observable_predator	condition1	0.2557329173775961	4.25
observable_predator	condition1	0.22402660437888522	4.3
observable_predator	condition1	0.23810903902470795	4.35
observable_predator	condition1	0.12505690871868694	4.4
observable_predator	condition1	0.2507908447669349	4.45
observable_predator	condition1	0.19250357410120283	4.5
observable_predator	condition1	0.27264653281203355	4.55
observable_predator	condition1	0.35220150730992766	4.6
observable_predator	condition1	0.235170410441238	4.65
observable_predator	condition1	0.1310744026083829	4.7
observable_predator	condition1	0.20292937265701766	4.75
observable_predator	condition1	0.28012781362321554	4.8
observable_predator	condition1	0.16980562434289254	4.85
observable_predator	condition1	0.0007766073695887055	4.9
observable_predator	condition1	0.40972405434859405	4.95
observable_predator	condition1	0.3154378519365185	5.0
observable_predator	condition1	0.16703269110666052	5.05
observable_predator	condition1	0.13069059200855532	5.1
observable_predator	condition1	0.20206478012431422	5.15
observable_predator	condition1	0.1724944933539563	5.2
observable_predator	condition1	0.1998132527539325	5.25
observable_predator	condition1	0.1588075234781111	5.3
observable_predator	condition1	0.10532737872619094	5.35
observable_predator	condition1	0.3970079707706065	5.4
observable_predator	condition1	0.018308660458155185	5.45
observable_predator	condition1	0.16630917675309978	5.5
observable_predator	condition1	0.19447835119142654	5.55
observable_predator	condition1	0.25188530250293784	5.6
observable_predator	condition1	0.31189729588291404	5.65
observable_predator	condition1	0.3883941432932795	5.7
observable_predator	condition1	0.2519471985980069	5.75
observable_predator	condition1	0.2506555587771208	5.8
observable_predator	condition1	0.22606946696553848	5.85
observable_predator	condition1	0.29967742721319324	5.9
observable_predator	condition1	0.3389890118409492	5.95
observable_predator	condition1	0.46652097946698184	6.0
observable_predator	condition1	0.26533788962775195	6.05
observable_predator	condition1	0.4652442892823545	6.1
observable_predator	condition1	0.48319318692585944	6.15
observable_predator	condition1	0.21376813507757964	6.2
observable_predator	condition1	0.5392614411184855	6.25
observable_predator	condition1	0.4997501585611476	6.3
observable_predator	condition1	0.668419249336829	6.35
observable_predator	condition1	0.5806409748841153	6.4
observable_predator	condition1	0.5289088586753676	6.45
observable_predator	condition1	0.6927733696367248	6.5
observable_predator	condition1	0.7891001048298258	6.55
observable_predator	condition1	0.9127338159644033	6.6
observable_predator	condition1	0.9376809839244663	6.65
observable_predator	condition1	1.0611978930922705	6.7
observable_predator	condition1	1.3756030641430688	6.75
observable_predator	condition1	1.5546059026920336	6.8
observable_predator	condition1	1.7619709430353492	6.85
observable_predator	condition1	1.9346886096911275	6.9
observable_predator	condition1	2.0727336648690486	6.95
observable_predator	condition1	2.272238895834443	7.0
observable_predator	condition1	2.668139448344282	7.05
observable_predator	condition1	3.0194204206054325	7.1
observable_predator	condition1	3.2924059595987276	7.15
observable_predator	condition1	3.3350297640349553	7.2
observable_predator	condition1	3.893920483503906	7.25
observable_predator	condition1	3.867030724012856	7.3
observable_predator	condition1	4.211952886081971	7.35
observable_predator	condition1	4.331929226757549	7.4
observable_predator	condition1	4.593812508077363	7.45
observable_predator	condition1	4.52346126153414	7.5
observable_predator	condition1	4.536087685752672	7.55
observable_predator	condition1	4.718451647958256	7.6
observable_predator	condition1	4.66504618332875	7.65
observable_predator	condition1	4.529833392771844	7.7
observable_predator	condition1	4.4514391258132004	7.75
observable_predator	condition1	4.2983543123611865	7.8
observable_predator	condition1	4.235930373385145	7.85
observable_predator	condition1	4.31024730297356	7.9
observable_predator	condition1	4.23284561710776	7.95
observable_predator	condition1	4.232190516482504	8.0
observable_predator	condition1	4.01290538369973	8.05
